dispatch_id,route_id,hub_id,dispatch_timestamp,route_class,distance_miles,stop_count,door_open_minutes,transit_duration_hours,cargo_type,pallet_payload,dispatch_status
DSP-10001,RT-ALLE-LOC-01,ALLENTOWN_PA,2025-01-02T16:17:00Z,LOCAL_URBAN,128.5,8,94,8.51,PHARMA_GDP,24,COMPLETED
DSP-10002,RT-HUB_-REG-02,HUB_N,01/02/2025 13:42,REGIONAL_DISTRIB,261.4,4,61,7.56,PHARMA_GDP,26,COMPLETED
DSP-10003,RT-ALLE-REG-03,ALLENTOWN_PA,2025-01-02 18:21:00,REGIONAL_DISTRIB,269.9,6,63,8.43,PERISHABLE_FOOD,26,COMPLETED
DSP-10004,RT-HUB_-LOC-04,HUB_01,2025-01-02T11:24:00Z,LOCAL_URBAN,113.9,9,86,8.18,PHARMA_GDP,24,COMPLETED
DSP-10005,RT-HUB_-REG-05,HUB_01,01/03/2025 07:05,REGIONAL_DISTRIB,292.8,6,58,8.97,PERISHABLE_FOOD,26,COMPLETED
DSP-10006,RT-ALLE-REG-06,ALLENTOWN_PA,2025-01-03 15:44:00,REGIONAL_DISTRIB,298.8,6,61,9.11,PERISHABLE_FOOD,26,COMPLETED
DSP-10007,RT-HUB_-LIN-07,HUB_N,2025-01-03T07:53:00Z,LINEHAUL_CORRIDOR,462.0,2,28,9.55,PERISHABLE_FOOD,26,COMPLETED
DSP-10008,RT-ALLE-LOC-08,ALLENTOWN_PA,01/03/2025 07:59,LOCAL_URBAN,133.4,7,90,8.4,PERISHABLE_FOOD,24,COMPLETED
DSP-10009,RT-ALLE-REG-09,ALLENTOWN_PA,2025-01-04 09:22:00,REGIONAL_DISTRIB,269.9,5,81,8.09,PERISHABLE_FOOD,26,COMPLETED
DSP-10010,RT-HUB_-LOC-10,HUB_01,2025-01-04T15:59:00Z,LOCAL_URBAN,111.7,9,93,8.08,PERISHABLE_FOOD,25,COMPLETED
DSP-10011,RT-HUB_-LOC-11,HUB_N,01/04/2025 10:44,LOCAL_URBAN,124.0,9,107,8.64,PERISHABLE_FOOD,25,COMPLETED
DSP-10012,RT-HUB_-REG-12,HUB_N,2025-01-04 18:13:00,REGIONAL_DISTRIB,264.1,4,82,7.62,PHARMA_GDP,26,COMPLETED
DSP-10013,RT-HUB_-LOC-13,HUB_N,2025-01-05T06:13:00Z,LOCAL_URBAN,124.9,10,113,9.01,PHARMA_GDP,26,COMPLETED
DSP-10014,RT-ALLE-LIN-14,ALLENTOWN_PA,01/05/2025 07:59,LINEHAUL_CORRIDOR,455.1,3,30,9.75,PHARMA_GDP,26,VOID_TEST
DSP-10015,RT-ALLE-LIN-15,ALLENTOWN_PA,2025-01-05 15:49:00,LINEHAUL_CORRIDOR,425.8,3,25,9.19,PERISHABLE_FOOD,26,COMPLETED
DSP-10016,RT-ALLE-REG-16,ALLENTOWN_PA,2025-01-05T14:50:00Z,REGIONAL_DISTRIB,266.9,4,72,7.69,PERISHABLE_FOOD,26,COMPLETED
DSP-10017,RT-HUB_-LIN-17,HUB_N,01/06/2025 07:16,LINEHAUL_CORRIDOR,462.7,2,27,9.56,PHARMA_GDP,26,COMPLETED
DSP-10018,RT-HUB_-LIN-18,HUB_N,2025-01-06 10:03:00,LINEHAUL_CORRIDOR,442.0,1,24,8.83,PERISHABLE_FOOD,26,COMPLETED
DSP-10019,RT-HUB_-LIN-19,HUB_01,2025-01-06T16:11:00Z,LINEHAUL_CORRIDOR,465.7,3,26,9.96,PERISHABLE_FOOD,26,COMPLETED
DSP-10020,RT-ALLE-REG-20,ALLENTOWN_PA,01/06/2025 14:44,REGIONAL_DISTRIB,271.2,4,65,7.79,PHARMA_GDP,26,VOID_TEST
DSP-10021,RT-ALLE-REG-21,ALLENTOWN_PA,2025-01-07 10:12:00,REGIONAL_DISTRIB,270.3,4,82,7.77,PHARMA_GDP,26,COMPLETED
DSP-10022,RT-ALLE-LOC-22,ALLENTOWN_PA,2025-01-07T08:36:00Z,LOCAL_URBAN,133.4,10,95,9.4,PERISHABLE_FOOD,25,COMPLETED
DSP-10023,RT-HUB_-LOC-23,HUB_01,01/07/2025 11:21,LOCAL_URBAN,120.3,7,86,7.8,PHARMA_GDP,26,COMPLETED
DSP-10024,RT-HUB_-LOC-24,HUB_N,2025-01-07 09:25:00,LOCAL_URBAN,123.4,8,107,8.28,PHARMA_GDP,25,COMPLETED
DSP-10025,RT-HUB_-REG-25,HUB_01,2025-01-08T07:29:00Z,REGIONAL_DISTRIB,298.5,4,56,8.44,PERISHABLE_FOOD,26,COMPLETED
DSP-10026,RT-HUB_-LOC-26,HUB_N,01/08/2025 11:30,LOCAL_URBAN,122.1,8,105,8.22,PERISHABLE_FOOD,24,COMPLETED
DSP-10027,RT-HUB_-LIN-27,HUB_01,2025-01-08 07:42:00,LINEHAUL_CORRIDOR,457.1,2,33,9.46,PERISHABLE_FOOD,26,COMPLETED
DSP-10028,RT-HUB_-REG-28,HUB_N,2025-01-08T14:28:00Z,REGIONAL_DISTRIB,284.4,6,65,8.77,PHARMA_GDP,26,COMPLETED
DSP-10029,RT-HUB_-LOC-29,HUB_N,01/09/2025 08:55,LOCAL_URBAN,122.7,8,84,8.24,PERISHABLE_FOOD,26,COMPLETED
DSP-10030,RT-ALLE-LOC-30,ALLENTOWN_PA,2025-01-09 13:50:00,LOCAL_URBAN,124.9,7,106,8.01,PERISHABLE_FOOD,26,COMPLETED
DSP-10031,RT-HUB_-REG-31,HUB_N,2025-01-09T12:50:00Z,REGIONAL_DISTRIB,274.1,5,67,8.19,PHARMA_GDP,26,COMPLETED
